countryiso3,commodity,month,avg_usdprice
AFG,Bread,1,0.665
AFG,Bread,2,0.68
AFG,Bread,3,0.6333333333333333
AFG,Bread,4,0.6359999999999999
AFG,Bread,5,0.6566666666666666
AFG,Bread,6,0.6166666666666667
AFG,Bread,7,0.674
AFG,Bread,8,0.65
AFG,Bread,9,0.7600000000000001
AFG,Bread,10,0.6900000000000001
AFG,Bread,11,0.6749999999999999
AFG,Bread,12,0.678
AFG,Rice (low quality),1,0.535
AFG,Rice (low quality),2,0.5816666666666667
AFG,Rice (low quality),3,0.6333333333333333
AFG,Rice (low quality),4,0.7233333333333333
AFG,Rice (low quality),5,0.545
AFG,Rice (low quality),6,0.6316666666666667
AFG,Rice (low quality),7,0.6699999999999999
AFG,Rice (low quality),8,0.6457142857142858
AFG,Rice (low quality),9,0.6433333333333334
AFG,Rice (low quality),10,0.5933333333333334
AFG,Rice (low quality),11,0.6216666666666667
AFG,Rice (low quality),12,0.5933333333333334
AFG,Wheat,1,0.3525
AFG,Wheat,2,0.385
AFG,Wheat,3,0.3666666666666667
AFG,Wheat,4,0.35285714285714287
AFG,Wheat,5,0.37333333333333335
AFG,Wheat,6,0.36999999999999994
AFG,Wheat,7,0.374
AFG,Wheat,8,0.345
AFG,Wheat,9,0.3525
AFG,Wheat,10,0.32
AFG,Wheat,11,0.372
AFG,Wheat,12,0.3275
AFG,Wheat flour,1,0.4075
AFG,Wheat flour,2,0.395
AFG,Wheat flour,3,0.42000000000000004
AFG,Wheat flour,4,0.3875
AFG,Wheat flour,5,0.3925
AFG,Wheat flour,6,0.395
AFG,Wheat flour,7,0.4066666666666667
AFG,Wheat flour,8,0.395
AFG,Wheat flour,9,0.42
AFG,Wheat flour,10,0.4125
AFG,Wheat flour,11,0.41333333333333333
AFG,Wheat flour,12,0.4166666666666667
AGO,Cassava flour,2,6.4e-05
AGO,Cassava flour,3,6.3e-05
AGO,Cassava flour,4,6.1e-05
AGO,Cassava flour,5,6.1e-05
AGO,Cassava flour,6,6.1e-05
AGO,Cassava flour,7,6.1e-05
AGO,Cassava flour,8,6.1e-05
AGO,Cassava flour,9,6.1e-05
AGO,Cassava flour,10,6.1e-05
AGO,Maize meal (yellow),5,1.51
AGO,Maize meal (yellow),7,1.82
AGO,Maize meal (yellow),8,1.82
AGO,Maize meal (yellow),9,2.42
AGO,"Rice (white, imported)",3,0.63
AGO,"Rice (white, imported)",5,2.12
AGO,"Rice (white, imported)",6,2.42
AGO,"Rice (white, imported)",7,2.42
AGO,"Rice (white, imported)",9,3.03
ARG,Bread,4,2.13
ARG,Bread,5,2.18
ARG,Bread,6,2.37
ARG,Bread,7,2.22
ARG,Bread,8,2.32
ARG,Bread,9,2.28
ARG,Bread,10,2.24
ARG,Bread,11,2.19
ARG,Bread,12,2.15
ARG,Maize (yellow),1,0.15
ARG,Maize (yellow),2,0.15
ARG,Maize (yellow),3,0.15
ARG,Maize (yellow),4,0.17
ARG,Maize (yellow),5,0.18
ARG,Maize (yellow),7,0.18
ARG,Maize (yellow),11,0.17
ARG,Maize (yellow),12,0.16
ARG,Potatoes,4,0.66
ARG,Potatoes,5,0.67
ARG,Potatoes,6,0.81
ARG,Potatoes,7,0.8
ARG,Potatoes,8,0.8
ARG,Potatoes,9,0.79
ARG,Potatoes,10,0.83
ARG,Potatoes,11,0.76
ARG,Potatoes,12,0.73
ARG,Rice (white),4,1.16
ARG,Rice (white),5,1.15
ARG,Rice (white),7,1.13
ARG,Rice (white),8,1.18
ARG,Rice (white),10,1.22
ARG,Rice (white),11,1.22
ARG,Wheat,1,0.14
ARG,Wheat,2,0.14
ARG,Wheat,3,0.15
ARG,Wheat,4,0.16
ARG,Wheat,5,0.18
ARG,Wheat,6,0.2
ARG,Wheat,8,0.17
ARG,Wheat,9,0.15
ARG,Wheat,10,0.15
ARG,Wheat,12,0.14
ARG,Wheat flour,1,0.27
ARG,Wheat flour,2,0.24
ARG,Wheat flour,3,0.25
ARG,Wheat flour,4,0.435
ARG,Wheat flour,5,0.45499999999999996
ARG,Wheat flour,6,0.515
ARG,Wheat flour,7,0.49
ARG,Wheat flour,8,0.5349999999999999
ARG,Wheat flour,9,0.5349999999999999
ARG,Wheat flour,10,0.5249999999999999
ARG,Wheat flour,11,0.53
ARG,Wheat flour,12,0.515
ARM,Bread (first grade flour),1,0.9433333333333334
ARM,Bread (first grade flour),2,0.9166666666666666
ARM,Bread (first grade flour),3,0.94
ARM,Bread (first grade flour),4,0.94
ARM,Bread (first grade flour),5,0.954
ARM,Bread (first grade flour),6,0.9466666666666667
ARM,Bread (first grade flour),7,0.97
ARM,Bread (first grade flour),9,0.935
ARM,Bread (first grade flour),10,0.9033333333333333
ARM,Bread (first grade flour),11,0.96
ARM,Bread (first grade flour),12,0.916
ARM,Bread (high grade flour),1,1.0066666666666666
ARM,Bread (high grade flour),2,0.99
ARM,Bread (high grade flour),3,1.0075
ARM,Bread (high grade flour),4,1.02
ARM,Bread (high grade flour),5,1.0275
ARM,Bread (high grade flour),6,1.0433333333333332
ARM,Bread (high grade flour),7,1.03
ARM,Bread (high grade flour),9,1.0266666666666666
ARM,Bread (high grade flour),10,1.0075
ARM,Bread (high grade flour),11,1.016
ARM,Bread (high grade flour),12,1.0366666666666668
ARM,Pasta,1,1.3
ARM,Pasta,2,1.0266666666666666
ARM,Pasta,3,0.98
ARM,Pasta,4,0.99
ARM,Pasta,5,1.0350000000000001
ARM,Pasta,6,0.97
ARM,Pasta,9,1.0366666666666668
ARM,Pasta,10,1.065
ARM,Pasta,11,1.1166666666666667
ARM,Pasta,12,1.06
ARM,Potatoes,1,0.39999999999999997
ARM,Potatoes,2,0.41
ARM,Potatoes,3,0.398
ARM,Potatoes,4,0.4375
ARM,Potatoes,5,0.5433333333333333
ARM,Potatoes,6,0.5425
ARM,Potatoes,7,0.39
ARM,Potatoes,9,0.3825
ARM,Potatoes,10,0.31799999999999995
ARM,Potatoes,11,0.29
ARM,Potatoes,12,0.375
ARM,Rice (white),2,0.96
ARM,Rice (white),4,1.12
ARM,Rice (white),5,1.05
ARM,Rice (white),6,1.115
ARM,Rice (white),7,1.13
ARM,Rice (white),10,1.13
ARM,Rice (white),11,1.24
ARM,Wheat flour,1,0.51
ARM,Wheat flour,2,0.45
ARM,Wheat flour,3,0.4666666666666666
ARM,Wheat flour,4,0.48
ARM,Wheat flour,5,0.4766666666666666
ARM,Wheat flour,6,0.475
ARM,Wheat flour,7,0.47333333333333333
ARM,Wheat flour,9,0.475
ARM,Wheat flour,10,0.565
ARM,Wheat flour,12,0.4725
BDI,Cassava flour,1,0.46588235294117647
BDI,Cassava flour,2,0.49466666666666664
BDI,Cassava flour,3,0.5225000000000001
BDI,Cassava flour,4,0.48210526315789476
BDI,Cassava flour,5,0.5153846153846154
BDI,Cassava flour,6,0.4525
BDI,Cassava flour,7,0.4327272727272727
BDI,Cassava flour,8,0.45375
BDI,Cassava flour,9,0.4473333333333333
BDI,Cassava flour,10,0.4842222222222222
BDI,Cassava flour,11,0.54725
BDI,Cassava flour,12,0.6123684210526316
BDI,Maize,2,0.57
BDI,Maize,4,0.43
BDI,Maize,6,0.32
BDI,Maize,7,0.39
BDI,Maize,8,0.45
BDI,Maize,9,0.48
BDI,Maize,10,0.49
BDI,Maize,11,0.5499999999999999
BDI,Maize,12,0.3
BDI,Maize (white),1,0.5438461538461539
BDI,Maize (white),2,0.4788888888888889
BDI,Maize (white),3,0.35000000000000003
BDI,Maize (white),4,0.3426666666666666
BDI,Maize (white),5,0.3738461538461539
BDI,Maize (white),6,0.36357142857142855
BDI,Maize (white),7,0.425
BDI,Maize (white),8,0.488
BDI,Maize (white),9,0.484
BDI,Maize (white),10,0.5885714285714286
BDI,Maize (white),11,0.6676666666666667
BDI,Maize (white),12,0.7235714285714286
BDI,Maize flour,1,0.6590909090909091
BDI,Maize flour,2,0.5641666666666666
BDI,Maize flour,3,0.5378571428571429
BDI,Maize flour,4,0.49058823529411766
BDI,Maize flour,5,0.483
BDI,Maize flour,6,0.4857142857142857
BDI,Maize flour,7,0.5009090909090909
BDI,Maize flour,8,0.5726666666666667
BDI,Maize flour,9,0.6045454545454546
BDI,Maize flour,10,0.6637777777777778
BDI,Maize flour,11,0.7546666666666667
BDI,Maize flour,12,0.8426190476190476
BDI,Potatoes (Irish),1,0.3564705882352941
BDI,Potatoes (Irish),2,0.39083333333333337
BDI,Potatoes (Irish),3,0.4525
BDI,Potatoes (Irish),4,0.49615384615384617
BDI,Potatoes (Irish),5,0.458
BDI,Potatoes (Irish),6,0.46636363636363637
BDI,Potatoes (Irish),7,0.43785714285714283
BDI,Potatoes (Irish),8,0.372
BDI,Potatoes (Irish),9,0.37777777777777777
BDI,Potatoes (Irish),10,0.38525
BDI,Potatoes (Irish),11,0.41289473684210526
BDI,Potatoes (Irish),12,0.46540540540540537
BDI,"Rice (high quality, local)",1,1.099375
BDI,"Rice (high quality, local)",2,1.1025
BDI,"Rice (high quality, local)",3,1.1370588235294117
BDI,"Rice (high quality, local)",4,1.0810526315789473
BDI,"Rice (high quality, local)",5,0.9966666666666666
BDI,"Rice (high quality, local)",6,0.896
