commodity,mean,min,max,std
Bread,1.2441076066790353,0.6166666666666667,2.37,0.597802971825658
Bread (common),1.1085714285714285,1.04,1.16,0.04099941927579443
Bread (first grade flour),0.9386363636363636,0.9033333333333332,0.97,0.020052406087524538
Bread (high grade flour),1.0939927536231884,0.99,1.24,0.08959653501401355
Bread (pita),0.45472222222222225,0.23,0.85,0.2899516806714233
Buckwheat grits,1.1917410257817866,1.02,1.5143478260869565,0.18349065000508596
Bulgur,1.0289490725940726,0.5127272727272727,1.92625,0.3102885715779307
Cassava,0.6500357815442561,0.14,1.58,0.4623104618657956
Cassava (chikwangue),0.6152592592592593,0.565,0.6766666666666667,0.038919710008689636
Cassava (cossette),0.4191746031746032,0.2138333333333333,0.5966666666666667,0.12124463448688495
Cassava (dry),0.41244444444444445,0.12,0.52,0.09771570901528469
Cassava (fresh),0.49491666666666667,0.14,1.0266666666666666,0.23234288754189214
Cassava flour,0.5294478265778436,6.1e-05,1.488,0.28842062725525835
Cassava meal,0.58,0.58,0.58,
Cassava meal (attieke),0.90375,0.69,1.12,0.1592785072040257
Cassava meal (gari),0.5049241999830235,0.3466666666666667,0.6766666666666667,0.08556795135557187
"Cassava meal (gari, yellow)",0.84,0.64,1.15,0.18126539343499315
"Corn Soy Blend (CSB++, food aid)",0.94,0.94,0.94,
Cornstarch,0.7702380952380953,0.535,1.14,0.2085985613285954
Couscous,0.13833333333333334,0.13,0.14,0.004082482904638634
Fonio,1.5072222222222222,0.68,2.09,0.47374248748074554
Gari (white),0.748,0.59,0.94,0.13791301606447448
Maize,0.4398257113902413,0.14,1.5,0.2614493196013138
Maize (imported),0.37390722934472936,0.34,0.4225,0.024919246889921833
Maize (local),0.8817033566446933,0.3151428571428571,1.43,0.4683201817835426
Maize (white),1.9718607776807855,0.1613793103448275,32.92166666666667,5.910733711419699
Maize (yellow),0.39917857142857144,0.15,1.36,0.20120398113666596
Maize flour,0.8219791370285489,0.483,1.43,0.2779479934643165
Maize flour (white),0.5735684444964455,0.44,0.65,0.053889368112400964
Maize flour (yellow),0.5265277777777778,0.38,0.63,0.06262949547700111
Maize meal,0.7800931972789116,0.5,1.0266666666666666,0.13631345894426591
"Maize meal (white, breakfast)",0.3447244867523069,0.292972972972973,0.4066666666666667,0.03929370717336369
"Maize meal (white, first grade)",0.8959615430865431,0.7071428571428572,1.056,0.09358911900030842
"Maize meal (white, roller)",0.43668827267727073,0.22,0.6625,0.17356761265535092
"Maize meal (white, with bran)",0.6863095238095238,0.424,0.8833333333333333,0.15233871472248375
"Maize meal (white, without bran)",0.6763507094757095,0.5754545454545454,0.815,0.0715504270341212
Maize meal (yellow),1.8925,1.51,2.42,0.3808214804865922
Millet,0.5430021255046023,0.25,1.21,0.24795555627150928
Noodles (short),1.4288939393939393,1.3119999999999998,1.52,0.08282928470076516
Pasta,0.8112666906754046,0.3547058823529412,1.3,0.3189882465562121
Potatoes,0.6293502924478853,0.1688888888888889,5.07,0.7950890465726234
Potatoes (Irish),0.852233981456277,0.2688888888888889,1.921,0.5154467148219918
"Potatoes (Irish, imilla)",0.8948611111111111,0.68,1.12,0.11677799522320191
Potatoes (medium size),0.8925,0.7,1.135,0.1307669683062202
Rice,1.0179598314945368,0.3,3.12,0.5540545406382641
Rice (Emata),0.374,0.26,0.47,0.08099382692526634
Rice (Grano de Oro),1.2843055555555556,1.21,1.3250000000000002,0.03364782200865208
Rice (Indica),0.6054166666666666,0.5833333333333334,0.62,0.009952538887290478
Rice (Japonica),0.6897916666666667,0.6625,0.705,0.012812384515370161
"Rice (basmati, broken)",1.585568181818182,0.6025,3.515,1.1155093026905376
Rice (carolina 2da),0.8755555555555555,0.87,0.89,0.00726483157256779
"Rice (carolina, 1st)",1.0457142857142858,1.04,1.05,0.0053452248382485365
Rice (coarse),0.40689451058201054,0.3133333333333333,0.48,0.042896104469882866
"Rice (coarse, BR-8/ 11/, Guti Sharna)",0.40714285714285714,0.34,0.5,0.06626066850308851
"Rice (coarse, Guti Sharna)",0.41200000000000003,0.34,0.5,0.059591199946897454
